Annee,Governorate,Effectif_Ovin,Est_Femelle,Source
2021,Béja,7500.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2021,Béja,25000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2021,Béja,27500.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2021,Béja,315000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,45000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,35000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,45000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,58000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,32000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,40000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,7500.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,25000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,27500.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2022,Béja,315000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,43000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,33000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,43000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,58000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,31000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,38000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,7000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,24000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,25000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2023,Béja,302000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2024,Béja,42000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2024,Béja,32000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2024,Béja,43000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
2024,Béja,58000.0,False,Production animale et effectif du cheptel - Gouvernorat de Béja - Evolution du Cheptel selon l'Espèc.csv
